Price,Adj Close,Close,High,Low,Open,Volume
2024-06-01,93346704.0,93346704.0,95313864.0,92227408.0,94095192.0,37879078308527
2024-06-02,93644784.0,93644784.0,93828504.0,93201176.0,93344208.0,16101236154491
2024-06-03,93707168.0,93707168.0,94616032.0,93103432.0,93649400.0,23665636854176
2024-06-04,94385192.0,94385192.0,96683856.0,93336184.0,93710344.0,44447516378764
2024-06-05,96989736.0,96989736.0,97659656.0,94480704.0,94384904.0,45561599726275
2024-06-06,97364032.0,97364032.0,98410584.0,96741768.0,96990536.0,44941784397244
2024-06-07,96611520.0,96611520.0,97821344.0,95736360.0,97364056.0,34439581071528
2024-06-08,95695544.0,95695544.0,98318464.0,94468528.0,96614280.0,49941413447783
2024-06-09,95644744.0,95644744.0,95958760.0,95513592.0,95670136.0,19682386975946
2024-06-10,96117504.0,96117504.0,96350976.0,95444728.0,95633312.0,18677594888313
2024-06-11,95570696.0,95570696.0,96451632.0,95260400.0,96112424.0,28319262155696
2024-06-12,92815520.0,92815520.0,95734784.0,91305104.0,95564920.0,51163666048925
2024-06-13,93562416.0,93562416.0,95645344.0,92091296.0,92800832.0,47298574077771
2024-06-14,91896192.0,91896192.0,93534400.0,91272144.0,93565048.0,39859444474899
2024-06-15,91311168.0,91311168.0,93244392.0,90096816.0,91884040.0,37906971698370
2024-06-16,91560024.0,91560024.0,91852152.0,91118448.0,91305144.0,19533523033071
2024-06-17,92180448.0,92180448.0,92531592.0,91321064.0,91557752.0,18371533696597
2024-06-18,91753104.0,91753104.0,92721520.0,89941312.0,92176944.0,41407189732096
2024-06-19,89868648.0,89868648.0,91844744.0,88431168.0,91754048.0,54468672125427
2024-06-20,89797936.0,89797936.0,90768176.0,89448144.0,89876808.0,29172341180334
2024-06-21,90277472.0,90277472.0,92139312.0,89817696.0,89797936.0,35706654716439
2024-06-22,89054616.0,89054616.0,90363024.0,88092272.0,90290464.0,36385583932884
2024-06-23,89271888.0,89271888.0,89581576.0,88823368.0,89079160.0,13696882820529
2024-06-24,87782808.0,87782808.0,89604128.0,87782808.0,89266864.0,15520149290614
2024-06-25,83596120.0,83596120.0,87987240.0,81284040.0,87772464.0,59845814280758
2024-06-26,86020272.0,86020272.0,86613648.0,83543880.0,83580680.0,40642522448339
2024-06-27,84777984.0,84777984.0,86766504.0,84608656.0,85999440.0,31375981195969
2024-06-28,85486232.0,85486232.0,86264600.0,84014360.0,84777912.0,29462345280414
2024-06-29,83319000.0,83319000.0,86194376.0,82776648.0,85497344.0,34466895960192
2024-06-30,84102520.0,84102520.0,84392920.0,83292520.0,83318632.0,17477202402653
2024-07-01,86576680.0,86576680.0,86871984.0,83751080.0,84103992.0,23942151380167
2024-07-02,87002192.0,87002192.0,88256992.0,86386488.0,86570208.0,35254337763804
2024-07-03,86017600.0,86017600.0,87801496.0,85649136.0,86991720.0,27944884315333
2024-07-04,83493152.0,83493152.0,86277272.0,82447376.0,86024968.0,41288331136830
2024-07-05,78698168.0,78698168.0,83547880.0,78413648.0,83455984.0,56836251764343
2024-07-06,78055816.0,78055816.0,79195904.0,74053656.0,78760472.0,76340991958075
2024-07-07,80316624.0,80316624.0,80549448.0,77197032.0,78051272.0,28391953213712
2024-07-08,76936128.0,76936128.0,80409720.0,76859280.0,80228312.0,28313716877950
2024-07-09,78454904.0,78454904.0,80431800.0,74907800.0,76936768.0,55018868189244
2024-07-10,80263560.0,80263560.0,80609792.0,77932272.0,78454216.0,38533543165127
2024-07-11,79903400.0,79903400.0,82197224.0,79104912.0,80297680.0,36221023296028
2024-07-12,78692728.0,78692728.0,81436960.0,78736464.0,79885960.0,39394867136386
2024-07-13,79617552.0,79617552.0,80480288.0,77826560.0,78687616.0,35209167658670
2024-07-14,81449856.0,81449856.0,82213208.0,79475888.0,79630304.0,23486792989698
2024-07-15,83589896.0,83589896.0,84352056.0,81440640.0,81440640.0,30559640170470
2024-07-16,89849760.0,89849760.0,89849760.0,83709624.0,83627944.0,52763618254436
2024-07-17,90059832.0,90059832.0,90339080.0,86507864.0,89731008.0,57576274739375
2024-07-18,88464376.0,88464376.0,91357480.0,88260648.0,90052480.0,44874678262285
2024-07-19,88676904.0,88676904.0,90003048.0,87702632.0,88444984.0,37757444256885
2024-07-20,92713776.0,92713776.0,93797296.0,87775592.0,88674488.0,51427958248426
2024-07-21,93344032.0,93344032.0,93965400.0,92143208.0,92713456.0,26447312020956
2024-07-22,94721720.0,94721720.0,95024664.0,91507624.0,93345792.0,37041433361159
2024-07-23,93795496.0,93795496.0,95060312.0,92477176.0,94719568.0,59188865537551
2024-07-24,91367840.0,91367840.0,94025320.0,90763440.0,93794872.0,49345184090941
2024-07-25,90457712.0,90457712.0,92599880.0,89990152.0,91368096.0,38012504355884
2024-07-26,91014040.0,91014040.0,91341168.0,87791960.0,90462888.0,53016408763098
2024-07-27,94049376.0,94049376.0,94458656.0,90977536.0,91006544.0,42222789661161
2024-07-28,93912656.0,93912656.0,96107920.0,92378056.0,94049032.0,48043779158794
2024-07-29,94472448.0,94472448.0,94589192.0,92905152.0,93906176.0,24973416735279
2024-07-30,92353560.0,92353560.0,96845456.0,91970576.0,94476864.0,56364053747111
2024-07-31,91637352.0,91637352.0,92744920.0,90469232.0,92352368.0,43437779743692
2024-08-01,88460200.0,88460200.0,91577488.0,88364880.0,91637704.0,42838102922343
2024-08-02,89551272.0,89551272.0,89787352.0,85310496.0,88469224.0,56143715371071
2024-08-03,83411792.0,83411792.0,89998800.0,83099184.0,89545784.0,58483774282466
2024-08-04,82413584.0,82413584.0,84407744.0,81267880.0,83411440.0,43125854790440
2024-08-05,78932752.0,78932752.0,82933616.0,77701712.0,82408144.0,43134016126583
2024-08-06,73882096.0,73882096.0,79333248.0,67323792.0,78923680.0,149143781347804
2024-08-07,77067200.0,77067200.0,78587560.0,73857216.0,73881952.0,67805777898782
2024-08-08,75738536.0,75738536.0,79410272.0,75097256.0,77075888.0,57308989131217
2024-08-09,84770112.0,84770112.0,86127216.0,75476392.0,75742072.0,62225699699072
2024-08-10,83090696.0,83090696.0,84827432.0,81328632.0,84794936.0,45620030530832
2024-08-11,83180368.0,83180368.0,83888304.0,82281976.0,83092224.0,21490291891128
2024-08-12,80142808.0,80142808.0,84317064.0,79635936.0,83179112.0,31063466273103
2024-08-13,81329176.0,81329176.0,83169128.0,79114320.0,80142688.0,50806164420954
2024-08-14,82615864.0,82615864.0,84083128.0,80264392.0,81331504.0,41339164826773
2024-08-15,79829824.0,79829824.0,83601304.0,79347696.0,82617880.0,40720941277663
2024-08-16,78562624.0,78562624.0,81625952.0,76675240.0,79824376.0,48701801627523
2024-08-17,79505272.0,79505272.0,80785288.0,77716376.0,78562864.0,39622886680680
2024-08-18,80294824.0,80294824.0,80586016.0,79398256.0,79504496.0,18345665738389
2024-08-19,78953624.0,78953624.0,81352864.0,78901560.0,80280192.0,23949926203358
2024-08-20,79238056.0,79238056.0,79396848.0,77429088.0,78949232.0,34510582844499
2024-08-21,78458992.0,78458992.0,81964920.0,78065472.0,79238056.0,42030811430859
2024-08-22,81796736.0,81796736.0,82505144.0,78213128.0,78461912.0,43764498798285
2024-08-23,80943824.0,80943824.0,82240328.0,80070944.0,81787544.0,37033154406821
2024-08-24,84917328.0,84917328.0,86047064.0,80930608.0,80942544.0,56347821072903
2024-08-25,85029464.0,85029464.0,85473032.0,84288752.0,84929936.0,28392953671018
2024-08-26,85233984.0,85233984.0,86116768.0,84571752.0,85025984.0,24944351481483
2024-08-27,83535224.0,83535224.0,85442984.0,83493904.0,85245488.0,36774827702117
2024-08-28,78983608.0,78983608.0,84099040.0,76991128.0,83533960.0,51905063630610
2024-08-29,78945624.0,78945624.0,80443152.0,77380640.0,78988640.0,53884679924967
2024-08-30,79234608.0,79234608.0,81588624.0,78449648.0,78945408.0,42993982953170
2024-08-31,79076432.0,79076432.0,79880208.0,77241104.0,79235168.0,43193822184624
2024-09-01,78876368.0,78876368.0,79495256.0,78607360.0,79073768.0,16590510384851
2024-09-02,76677384.0,76677384.0,78999656.0,76528408.0,78876232.0,32894352839092
2024-09-03,79116368.0,79116368.0,79380904.0,76503704.0,76679368.0,36185692852176
2024-09-04,77026016.0,77026016.0,80177944.0,77018168.0,79107952.0,35765509974805
2024-09-05,77276568.0,77276568.0,78191632.0,74724344.0,77025112.0,47492010025468
2024-09-06,74890224.0,74890224.0,77881080.0,74292640.0,77276792.0,41378996270103
2024-09-07,72224968.0,72224968.0,75816336.0,70403952.0,74889824.0,66083954495254
2024-09-08,72480592.0,72480592.0,73415664.0,71945592.0,72225416.0,25518946316490
2024-09-09,73399136.0,73399136.0,74028976.0,71830040.0,72491624.0,24450005208687
2024-09-10,76567784.0,76567784.0,77926304.0,73143632.0,73412952.0,46486364172886
2024-09-11,77504016.0,77504016.0,77975368.0,75848480.0,76568536.0,38796744209132
2024-09-12,76829488.0,76829488.0,77649840.0,74595160.0,77506136.0,49639049769842
2024-09-13,77733832.0,77733832.0,78519664.0,76811976.0,76829488.0,45248830596973
2024-09-14,80529544.0,80529544.0,80631552.0,76648808.0,77738264.0,43196157448803
2024-09-15,79761808.0,79761808.0,80643112.0,79114144.0,80526640.0,21837458005887
2024-09-16,78743192.0,78743192.0,80262664.0,78069080.0,79755968.0,24110070245480
2024-09-17,76811784.0,76811784.0,78773360.0,75896424.0,78746376.0,42282043876934
2024-09-18,79806128.0,79806128.0,81135952.0,76126968.0,76811784.0,50385300960458
2024-09-19,81625328.0,81625328.0,81644384.0,78447368.0,79806744.0,54272459407533
2024-09-20,83623504.0,83623504.0,84869760.0,82291640.0,81627288.0,56745395947227
2024-09-21,84204008.0,84204008.0,85228832.0,83158992.0,83624800.0,46873219554490
2024-09-22,84472992.0,84472992.0,84670888.0,83657864.0,84192504.0,19199337027081
2024-09-23,84812568.0,84812568.0,85271904.0,83202920.0,84475608.0,26894523013087
2024-09-24,84491360.0,84491360.0,86493520.0,83460720.0,84805096.0,41892643291221
2024-09-25,85256696.0,85256696.0,85670808.0,83720080.0,84487408.0,39694639931982
2024-09-26,84394848.0,84394848.0,86061680.0,84025792.0,85257520.0,33518853651717
2024-09-27,85660896.0,85660896.0,86673488.0,83401608.0,84388704.0,48458667245487
2024-09-28,86205176.0,86205176.0,86958064.0,85501008.0,85660432.0,42006502968875
2024-09-29,86332256.0,86332256.0,86814296.0,85769336.0,86207168.0,19973662632206
2024-09-30,86001912.0,86001912.0,86570336.0,85758824.0,86333888.0,19376990606681
2024-10-01,83383400.0,83383400.0,86001576.0,82746064.0,86001064.0,48865135417844
2024-10-02,80696896.0,80696896.0,84799584.0,79808720.0,83391440.0,66615247471926
2024-10-03,80345416.0,80345416.0,82452840.0,79475616.0,80695984.0,54015294889852
2024-10-04,81130512.0,81130512.0,81886736.0,79952152.0,80345016.0,48212038772932
2024-10-05,83596824.0,83596824.0,84133256.0,80584768.0,81124136.0,39847785363773
2024-10-06,83627088.0,83627088.0,84005664.0,83087848.0,83597000.0,17920658575171
2024-10-07,84609424.0,84609424.0,84798352.0,83281216.0,83620408.0,19901774030556
2024-10-08,83606968.0,83606968.0,86646072.0,83493984.0,84609632.0,46015269238112
2024-10-09,83200520.0,83200520.0,85055712.0,83371376.0,83586800.0,37674694046506
2024-10-10,81468736.0,81468736.0,83884288.0,81282408.0,83200192.0,37210988714742
2024-10-11,81416080.0,81416080.0,82774192.0,79671128.0,81468504.0,41134290193708
2024-10-12,84258408.0,84258408.0,85625232.0,81094024.0,81417384.0,40921018695797
2024-10-13,85370144.0,85370144.0,85612712.0,84255952.0,84257768.0,22620332418714
2024-10-14,84803728.0,84803728.0,85375056.0,83705928.0,85370040.0,24526467994947
2024-10-15,89725568.0,89725568.0,90224080.0,84400640.0,84799712.0,59377160886011
2024-10-16,91473904.0,91473904.0,92311008.0,88295416.0,89731328.0,66672064300958
2024-10-17,92254264.0,92254264.0,93037688.0,91181120.0,91475752.0,52115476776877
2024-10-18,92419416.0,92419416.0,92700864.0,91466448.0,92260216.0,44963252444416
2024-10-19,93734424.0,93734424.0,94424528.0,92150568.0,92445848.0,50494684641586
2024-10-20,93657624.0,93657624.0,94075856.0,93194432.0,93734680.0,19787736568549
2024-10-21,94516800.0,94516800.0,95014792.0,93305520.0,93659608.0,25992638383879
2024-10-22,92799592.0,92799592.0,95157720.0,92264336.0,94517200.0,51654546932286
2024-10-23,92799720.0,92799720.0,93406128.0,91843904.0,92789744.0,43820605537844
2024-10-24,91566184.0,91566184.0,92856680.0,90110352.0,92801064.0,44470746972577
2024-10-25,93864696.0,93864696.0,94890968.0,91800720.0,91871488.0,43260860141517
2024-10-26,92543648.0,92543648.0,95453136.0,90987496.0,93870544.0,57587708405716
2024-10-27,93060632.0,93060632.0,93481704.0,92152304.0,92524664.0,27201208385670
2024-10-28,94370144.0,94370144.0,94775824.0,92828064.0,93072824.0,23229921478127
2024-10-29,96676024.0,96676024.0,97019312.0,93602000.0,94360944.0,53656650289515
2024-10-30,100669296.0,100669296.0,101871240.0,96492112.0,96679192.0,81041382522626
2024-10-31,99662824.0,99662824.0,100575520.0,98421680.0,100662200.0,55999228923425
2024-11-01,96462824.0,96462824.0,100097312.0,95582536.0,99656624.0,55815320550575
2024-11-02,95909432.0,95909432.0,98533904.0,94791456.0,96465176.0,69002914134606
2024-11-03,95642760.0,95642760.0,96440704.0,95290008.0,95914336.0,25100947454263
2024-11-04,94869960.0,94869960.0,95742672.0,93148832.0,95652568.0,48121928386241
2024-11-05,93183480.0,93183480.0,95294904.0,91811632.0,94871368.0,56594299485159
2024-11-06,95709960.0,95709960.0,97375304.0,92990816.0,93183024.0,63540562881753
2024-11-07,105985448.0,105985448.0,107027096.0,95496560.0,95708488.0,166171981666662
2024-11-08,104787736.0,104787736.0,106431608.0,104038648.0,105982656.0,87618000223316
2024-11-09,107025888.0,107025888.0,107999936.0,104762160.0,104784936.0,77148282859343
2024-11-10,107352216.0,107352216.0,107567392.0,105946912.0,107040864.0,40561055441002
2024-11-11,112534792.0,112534792.0,113933520.0,106936944.0,107347568.0,115466401526242
2024-11-12,124319744.0,124319744.0,125491192.0,112267784.0,112530912.0,165336661697054
2024-11-13,123869488.0,123869488.0,126745752.0,119813024.0,124325456.0,188254092892665
2024-11-14,127201032.0,127201032.0,131154576.0,121344160.0,123833088.0,173505329164600
2024-11-15,122472560.0,122472560.0,128594296.0,121675608.0,127187992.0,122986692988649
2024-11-16,127121312.0,127121312.0,128214776.0,122090112.0,122519936.0,109221512653820
2024-11-17,126412840.0,126412840.0,128095592.0,125764784.0,127119024.0,61885812178058
2024-11-18,125401504.0,125401504.0,127633664.0,123860344.0,126412824.0,64692799344412
2024-11-19,125924448.0,125924448.0,129033424.0,124651032.0,125398520.0,105053267592428
2024-11-20,128664696.0,128664696.0,130982728.0,125763496.0,125916336.0,103831860541256
2024-11-21,131944536.0,131944536.0,132687712.0,127538488.0,128662048.0,100323918456939
2024-11-22,138086896.0,138086896.0,138700800.0,131643816.0,131937752.0,148628341778896
2024-11-23,139043200.0,139043200.0,140020608.0,136879840.0,138075264.0,110216928619199
2024-11-24,137329168.0,137329168.0,139067104.0,136564576.0,139055952.0,62380812594686
2024-11-25,137804912.0,137804912.0,138550944.0,134535312.0,137330320.0,72705770888055
2024-11-26,130260352.0,130260352.0,138641456.0,129617592.0,137832496.0,113201238064095
2024-11-27,128438208.0,128438208.0,132808184.0,126830752.0,130239344.0,127979114005779
2024-11-28,133457968.0,133457968.0,135390384.0,128175480.0,128428184.0,98927428869813
2024-11-29,133161624.0,133161624.0,134856192.0,132200416.0,133447424.0,72753247900427
2024-11-30,136009424.0,136009424.0,137911696.0,133206832.0,133163696.0,76709849156358
